question,answer
1,B
2,E
3,C
4,E
5,A
6,C
7,A
8,D
9,A
10,E
11,C
12,A
13,C
14,A
15,E
16,D
17,A
18,E
19,B
20,A
21,A
22,B
23,C
24,D
25,E
26,E
27,B
28,C
29,C
30,E
31,_
32,_
33,_
34,_
35,_
36,_
37,_
38,_
39,_
40,_
41,_
42,_
43,_
44,_
45,_
46,_
47,_
48,_
49,_
50,_
51,_
52,_
53,_
54,_
55,_
56,_
57,_
58,_
59,_
60,_
